variant,seed,duration_s,mission_complete,fire_overrun,extinction_time_s,fire_damage,fires_spawned,peak_active_fires,detection_delay_s,response_delay_s,collisions,near_misses,min_distance_m,emergency_fraction,time_explore,time_to_fire,time_extinguishing,time_to_station,time_queue,time_refill,water_fairness,overcrowding_s,queue_wait_mean_s,queue_wait_max_s,distance_m,control_effort,saturation_bounces,message_loss,neighbors,connected_fraction,fire_awareness,phantom_fires,info_age_s
radio con 50% di messaggi persi,3,129.45,False,True,,141019.70257999498,38,41,5.992307692307692,16.412857142857142,0,113,0.1256732666058281,0.06976953778808032,0.04114844856443663,0.1517123728594893,0.06662160422300505,0.5697373503278873,0.14198532251831106,0.028794901506372907,0.8570601805196962,0.0,3.6093333333334305,29.250000000001773,835.381844240627,1189.807286462271,0,0.5007960484929443,1.6619654817104565,0.059505409582689336,0.49465275936152336,0.02260432766615149,0.8550976731479241
radio con 50% di messaggi persi,4,208.71,False,True,,206770.8999799879,38,41,3.5577777777777775,6.412222222222222,2,206,0.03040977783805708,0.08885135674700372,0.008776132751984666,0.056310191174363436,0.05894542666858748,0.6537021065907463,0.19136201747229373,0.030904125341383856,0.9017218471961999,0.0,13.291599999999807,66.94999999999735,1282.9518432500508,1999.2802978346797,1,0.5002606754057028,1.867273598466698,0.11116435074269286,0.7955935576556288,0.07522759942501198,0.1493615336764275
radio con 50% di messaggi persi,5,175.24,False,True,,173524.49823998884,42,41,4.860384615384618,9.631666666666666,1,125,0.031767350093545865,0.07274785056684492,0.056955223312801666,0.1688398767403856,0.10375294833749264,0.5349901088027476,0.09274899185876873,0.042712850947276615,0.8762992319437747,0.0,2.354090909090877,16.529999999999784,1034.3282542368495,1290.4663828482219,0,0.4999560441106141,1.356592465753424,0.0,0.3755330226343678,0.025161719939117297,1.2635767341322015
radio con 50% di messaggi persi,6,219.36,False,True,,308987.9849999797,43,41,9.007179487179489,11.100526315789477,1,201,0.0742204603512651,0.0736308655482619,0.021832451981520912,0.08408932044734062,0.08174538050083169,0.5762179370284637,0.1959564186723787,0.04015849136883706,0.5124608952716857,0.0,2.0929545454545977,35.860000000001435,1310.4282064659753,1998.4981250601402,1,0.5006070502955731,1.7023103815169462,0.0,0.33174372187278817,0.011057911536707701,0.9261399951474814
radio con 50% di messaggi persi,7,600.0,False,False,,171516.65773995925,0,5,1.544,3.3020000000000005,8,708,0.025540755642993858,0.1002722222221741,0.047158333333310584,0.07345972222217556,0.0459888888888672,0.5698555555615469,0.24257499999979953,0.02096250000000107,0.9349423659767228,0.0,15.486805555555858,94.00000000001118,3893.6449679680445,5648.968524829582,0,0.5001795001637294,2.426083333333334,0.5098333333333334,0.8829009259259237,0.005236111111111108,0.3562969977806598
radio con 50% di messaggi persi,8,187.75,False,True,,255805.91695998635,40,41,43.595000000000006,1.5585714285714345,6,181,0.0076080369104508435,0.08231247225921158,0.12365290723474995,0.1586063027074212,0.07527296937416367,0.49186418109149455,0.10757656458052577,0.04302707501110195,0.6374184838777487,0.0,3.262857142857217,29.340000000001787,1050.8482279855148,1409.7368057723643,2,0.5008173882522076,1.8287160362280233,0.2184336707511987,0.25390304369067956,0.008613034984905,0.662980848051305
senza rimbalzo dagli incendi pieni,1,207.62,True,False,207.62,87794.28517999162,8,8,12.013846153846153,12.219230769230771,0,1,0.4938293702005288,0.00043348425007224756,0.018712070128118395,0.35892495905955263,0.14421378801007378,0.3876111806823631,0.02262948335099274,0.06790851876825896,0.9788813142178452,0.45000000000000023,0.6698809523809468,6.029999999999916,1134.000614430667,1288.075130530712,0,0.0,3.457691072575463,0.29383429672447015,0.7618275376945889,0.008068400770712926,0.23649610346146085
senza rimbalzo dagli incendi pieni,2,219.25,False,True,,258595.18101997857,48,41,12.832,22.907500000000002,0,1,0.7238067522783102,0.0003420752565564426,0.13539718738115583,0.2779817559861193,0.11816039528691077,0.353078677308742,0.06222729000379935,0.053154694032693954,0.9826609268070805,1.5900000000000012,1.7541428571428337,12.809999999999771,1248.994929751628,1281.077251049202,0,0.0,3.0720802919708037,0.3143248175182482,0.5395163743144469,0.047027068126520764,0.07531766009306448
senza rimbalzo dagli incendi pieni,3,174.47,False,True,,183091.97195998736,41,41,24.614146341463417,8.521666666666668,0,1,0.649821582925622,0.007890563802754885,0.06017271355153109,0.37500238818489856,0.11638103972025916,0.3654448711332651,0.027382931162949296,0.05561605624654796,0.9465155295258446,0.0,0.9401851851851772,9.219999999999848,1094.0085367415636,1134.7377480437608,0,0.0,2.7433103975535045,0.16055045871559634,0.5088889750756833,0.03750955657492338,0.2994687916777793
senza rimbalzo dagli incendi pieni,4,150.52,True,False,150.52,62031.22081999336,0,5,1.8920000000000001,0.7979999999999998,0,0,0.9628709258415791,0.0,0.03773584905660264,0.3217734077418374,0.12634533616791643,0.38771702542270575,0.06395052706175379,0.06247785454868723,0.9759366506727024,0.0,2.1605999999999757,16.589999999999794,782.2586197075345,876.8072877663666,0,0.0,3.3698781838316747,0.4212624584717608,0.9301107419712072,0.02558139534883718,0.029488835808494974
senza rimbalzo dagli incendi pieni,5,154.54,True,False,154.54,70574.14405999289,0,5,1.9600000000000002,1.8200000000000003,0,0,1.0164756142686653,0.0,0.05997368534576808,0.3367305120570603,0.1397804236227456,0.3702978732580133,0.029647124800481876,0.06357038091541747,0.9763043006376325,0.0,0.7727118644067722,7.909999999999876,901.6628375801239,923.9854591693664,0,0.0,2.282847896440132,0.06666666666666667,0.7762459546925571,0.0447141316073353,0.35201219361688596
senza rimbalzo dagli incendi pieni,6,130.23,True,False,130.23,65727.215139994,0,5,3.396,1.252,0,4,0.3435767138188219,0.0022332283907957684,0.029537484962501852,0.26193401417989504,0.15672912027433658,0.3936624945606399,0.0836084875476888,0.07452839847450837,0.9468481971574664,0.0,2.383962264150913,10.939999999999811,617.9192615449067,766.4308918729976,0,0.0,2.412954429083475,0.009984639016897081,0.8718958013312859,0.056835637480798715,0.6727550307039152
senza rimbalzo dagli incendi pieni,7,150.91,True,False,150.91,63182.48649999148,0,5,1.544,3.374,0,0,0.9791405708584444,0.0,0.0195591191217732,0.28852185629385607,0.14338568241551744,0.3834128509263322,0.10075541713602977,0.06436507410599183,0.9755257722526687,0.0,2.1184482758620446,18.640000000000114,762.2165038498509,807.8786700040849,0,0.0,2.8628230616302175,0.12127236580516898,0.871960827626832,0.04660923348796089,0.5892514454422431
senza rimbalzo dagli incendi pieni,8,201.42,False,True,,232374.3059999874,50,41,17.92,9.466956521739132,0,1,0.6629221954695388,0.0007943600436898029,0.13128868367915153,0.2655769039815482,0.11333283685826295,0.36900506404500294,0.06459553834442251,0.05620097309106239,0.8969307803873552,0.0,1.948999999999976,10.179999999999827,1124.353757757628,1211.8267277734888,0,0.0,3.0987255875537887,0.25620655412115195,0.5742662264071492,0.06367924528301891,0.03731880378766834
